"year","births","deaths","clinic"
1833,3737,197,"clinic_1"
1834,2657,205,"clinic_1"
1835,2573,143,"clinic_1"
1836,2677,200,"clinic_1"
1837,2765,251,"clinic_1"
1838,2987,91,"clinic_1"
1839,2781,151,"clinic_1"
1840,2889,267,"clinic_1"
1841,3036,237,"clinic_1"
1842,3287,518,"clinic_1"
1843,3060,274,"clinic_1"
1844,3157,260,"clinic_1"
1845,3492,241,"clinic_1"
1846,4010,459,"clinic_1"
1847,3490,176,"clinic_1"
1848,3556,45,"clinic_1"
1849,3858,103,"clinic_1"
1850,3745,74,"clinic_1"
1851,4194,75,"clinic_1"
1852,4471,181,"clinic_1"
1853,4221,94,"clinic_1"
1854,4393,400,"clinic_1"
1855,3659,198,"clinic_1"
1856,3925,156,"clinic_1"
1857,4220,124,"clinic_1"
1858,4203,86,"clinic_1"
1833,353,8,"clinic_2"
1834,1744,150,"clinic_2"
1835,1682,84,"clinic_2"
1836,1670,131,"clinic_2"
1837,1784,124,"clinic_2"
1838,1779,88,"clinic_2"
1839,2010,91,"clinic_2"
1840,2073,55,"clinic_2"
1841,2442,86,"clinic_2"
1842,2659,202,"clinic_2"
1843,2739,164,"clinic_2"
1844,2956,68,"clinic_2"
1845,3241,66,"clinic_2"
1846,3754,105,"clinic_2"
1847,3306,32,"clinic_2"
1848,3219,43,"clinic_2"
1849,3371,87,"clinic_2"
1850,3261,54,"clinic_2"
1851,3395,121,"clinic_2"
1852,3360,192,"clinic_2"
1853,3480,67,"clinic_2"
1854,3396,210,"clinic_2"
1855,2938,174,"clinic_2"
1856,3070,125,"clinic_2"
1857,3795,83,"clinic_2"
1858,4179,60,"clinic_2"
